src_id,tile_id,ra,dec,plate_id,obs_date,run_id,obs_date_used,time_adjusted,shadow_dist_deg,in_earth_shadow
tile_RA85.001_DECp43.060:12399,tile_RA85.001_DECp43.060,84.824539615600,43.531795820100,XE203,1953-01-10T04:65:00,R1,1953-01-10T05:05:00.000,True,32.0312,False
tile_RA39.816_DECp44.630:7930,tile_RA39.816_DECp44.630,40.067849465800,44.892830368600,XE197,1951-12-21T04:20:00,R1,1951-12-21T04:20:00.000,False,44.9596,False
tile_RA130.050_DECp45.494:2117,tile_RA130.050_DECp45.494,129.496524385900,45.630106802200,XE164,1953-02-14T06:70:00,R1,1953-02-14T07:10:00.000,True,34.4230,False
tile_RA130.050_DECp45.494:915,tile_RA130.050_DECp45.494,129.945971809000,45.368158802700,XE164,1953-02-14T06:70:00,R1,1953-02-14T07:10:00.000,True,34.0911,False
tile_RA227.716_DECp47.482:533,tile_RA227.716_DECp47.482,227.597507472800,47.196216908300,XE176,1953-03-15T11:98:00,R1,1953-03-15T12:38:00.000,True,64.8640,False
tile_RA358.824_DECp46.807:3910,tile_RA358.824_DECp46.807,358.783370302000,46.749835527800,XE191,1951-09-09T08:02:00,R1,1951-09-09T08:02:00.000,False,50.9032,False
tile_RA97.742_DECp46.931:5089,tile_RA97.742_DECp46.931,98.267846960300,47.105272491600,XE160,1950-12-08T09:37:00,R1,1950-12-08T09:37:00.000,False,29.7613,False
tile_RA97.742_DECp46.931:5960,tile_RA97.742_DECp46.931,98.154156384100,46.979718031900,XE160,1950-12-08T09:37:00,R1,1950-12-08T09:37:00.000,False,29.6410,False
tile_RA131.530_DECp46.494:1709,tile_RA131.530_DECp46.494,131.763231405200,46.771139163400,XE164,1953-02-14T06:70:00,R1,1953-02-14T07:10:00.000,True,34.5874,False
tile_RA145.381_DECp46.333:1596,tile_RA145.381_DECp46.333,144.817357073600,46.456035027200,XE166,1953-02-14T08:17:00,R1,1953-02-14T08:17:00.000,False,31.6686,False
tile_RA152.296_DECp47.274:949,tile_RA152.296_DECp47.274,151.881999994300,47.201429498600,XE167,1955-03-18T05:78:00,R1,1955-03-18T06:18:00.000,True,49.5150,False
tile_RA208.434_DECp47.267:743,tile_RA208.434_DECp47.267,208.398661790400,47.653078850800,XE173,1956-04-07T09:42:00,R1,1956-04-07T09:42:00.000,False,54.3534,False
