tile_id,plate_id,run_id,rows_to_S0
tile_RA0.084_DECp35.807,XE291,R1,1
tile_RA0.084_DECp36.807,XE291,R1,1
tile_RA0.084_DECp37.807,XE291,R1,2
tile_RA0.140_DECp53.807,XE111,R1,1
tile_RA0.140_DECp55.807,XE111,R1,1
tile_RA0.342_DECp47.807,XE191,R1,1
tile_RA0.353_DECp47.807,XE149,R1,1
tile_RA0.449_DECp23.807,XE403,R1,1
tile_RA0.449_DECp24.807,XE403,R1,2
tile_RA0.449_DECp25.807,XE403,R1,1
tile_RA0.506_DECp42.807,XE192,R1,1
tile_RA0.508_DECm24.304,XE825,R1,1
tile_RA0.508_DECp29.807,XE347,R1,2
tile_RA0.508_DECp30.807,XE347,R1,4
tile_RA0.618_DECp36.807,XE240,R1,1
tile_RA0.618_DECp37.807,XE240,R1,1
tile_RA0.700_DECp29.807,XE292,R1,3
tile_RA0.700_DECp30.807,XE292,R1,5
tile_RA0.761_DECp23.807,XE348,R1,2
tile_RA0.761_DECp25.807,XE348,R1,5
tile_RA0.802_DECp5.791,XE524,R1,3
tile_RA0.802_DECp7.791,XE524,R1,12
tile_RA0.805_DECp17.807,XE404,R1,2
tile_RA0.805_DECp18.807,XE404,R1,1
tile_RA0.805_DECp19.807,XE404,R1,2
tile_RA0.836_DECm10.207,XE704,R1,1
tile_RA0.836_DECm11.207,XE704,R1,1
tile_RA0.836_DECm12.207,XE704,R1,3
tile_RA0.851_DECm4.193,XE644,R1,1
tile_RA0.851_DECm5.193,XE644,R1,2
tile_RA0.851_DECm6.193,XE644,R1,3
tile_RA0.857_DECp1.807,XE584,R1,1
tile_RA1.333_DECp36.807,XE291,R1,1
tile_RA1.550_DECp24.807,XE403,R1,1
tile_RA1.596_DECm22.304,XE825,R1,1
tile_RA1.596_DECm24.304,XE825,R1,2
tile_RA1.596_DECm25.304,XE825,R1,4
tile_RA1.672_DECp30.807,XE347,R1,4
tile_RA1.695_DECp64.828,XE050,R1,1
tile_RA1.695_DECp68.828,XE050,R1,4
tile_RA1.809_DECp4.791,XE524,R1,2
tile_RA1.809_DECp6.791,XE524,R1,4
tile_RA1.809_DECp7.791,XE524,R1,1
tile_RA1.809_DECp8.791,XE524,R1,3
tile_RA1.855_DECm10.207,XE704,R1,1
tile_RA1.855_DECm11.207,XE704,R1,1
