src_id,tile_id,object_id,ra,dec,plate_id
tile_RA0.084_DECp35.807:2105,tile_RA0.084_DECp35.807,2105,0.3831937093,36.0929561159,XE291
tile_RA0.084_DECp36.807:3570,tile_RA0.084_DECp36.807,3570,359.9420988196,36.8048646676,XE291
tile_RA0.084_DECp37.807:649,tile_RA0.084_DECp37.807,649,0.4207129068,37.4414670617,XE291
tile_RA0.084_DECp37.807:3080,tile_RA0.084_DECp37.807,3080,0.005597016,38.0795349843,XE291
tile_RA0.140_DECp53.807:16218,tile_RA0.140_DECp53.807,16218,0.2639034672,54.2447399217,XE111
tile_RA0.140_DECp55.807:7582,tile_RA0.140_DECp55.807,7582,359.5603351382,55.711650737,XE111
tile_RA0.342_DECp47.807:4512,tile_RA0.342_DECp47.807,4512,0.7555049442,47.8099144177,XE191
tile_RA0.353_DECp47.807:4501,tile_RA0.353_DECp47.807,4501,0.7555043692,47.8099138484,XE149
tile_RA0.449_DECp23.807:1463,tile_RA0.449_DECp23.807,1463,0.6587948497,24.1277535678,XE403
tile_RA0.449_DECp24.807:2059,tile_RA0.449_DECp24.807,2059,0.9740221449,24.9402635404,XE403
tile_RA0.449_DECp24.807:2297,tile_RA0.449_DECp24.807,2297,0.9777958543,24.8590394623,XE403
tile_RA0.449_DECp25.807:1332,tile_RA0.449_DECp25.807,1332,0.7740214561,26.181152074,XE403
tile_RA0.506_DECp42.807:5104,tile_RA0.506_DECp42.807,5104,0.5130953911,42.9611449824,XE192
tile_RA0.508_DECm24.304:1135,tile_RA0.508_DECm24.304,1135,0.5114558453,-24.2555796123,XE825
tile_RA0.508_DECp29.807:2114,tile_RA0.508_DECp29.807,2114,0.7835419891,30.1386195879,XE347
tile_RA0.508_DECp29.807:2903,tile_RA0.508_DECp29.807,2903,0.9505361991,29.9043275567,XE347
tile_RA0.508_DECp30.807:2085,tile_RA0.508_DECp30.807,2085,0.9502292402,30.7108475928,XE347
tile_RA0.508_DECp30.807:2748,tile_RA0.508_DECp30.807,2748,0.7088440213,30.9768697093,XE347
tile_RA0.508_DECp30.807:2874,tile_RA0.508_DECp30.807,2874,0.6801542897,30.9345496915,XE347
tile_RA0.508_DECp30.807:3105,tile_RA0.508_DECp30.807,3105,0.1877207727,30.8579743295,XE347
tile_RA0.618_DECp36.807:4237,tile_RA0.618_DECp36.807,4237,1.1736687899,36.8251679675,XE240
tile_RA0.618_DECp37.807:4087,tile_RA0.618_DECp37.807,4087,0.1066485121,37.9468461348,XE240
tile_RA0.700_DECp29.807:2014,tile_RA0.700_DECp29.807,2014,0.7835458847,30.1386254246,XE292
tile_RA0.700_DECp29.807:2774,tile_RA0.700_DECp29.807,2774,0.9505357802,29.9043288663,XE292
tile_RA0.700_DECp29.807:2957,tile_RA0.700_DECp29.807,2957,1.1070271048,29.8463341233,XE292
tile_RA0.700_DECp30.807:1948,tile_RA0.700_DECp30.807,1948,1.2547885067,30.7308379908,XE292
tile_RA0.700_DECp30.807:2024,tile_RA0.700_DECp30.807,2024,0.9502360218,30.7108471909,XE292
tile_RA0.700_DECp30.807:2659,tile_RA0.700_DECp30.807,2659,0.7088410867,30.9768679926,XE292
tile_RA0.700_DECp30.807:2770,tile_RA0.700_DECp30.807,2770,0.6801502547,30.9345477342,XE292
