src_id,ra,dec,tile_id,object_id,fwhm_image,fwhm_ratio,spread_model,spreaderr_model,spread_snr,psf_fwhm_median,psf_spread_median,psf_star_count,reject_flag,reject_reason,source_chunk
tile_RA0.084_DECp35.807:2105,0.3831937093,36.0929561159,tile_RA0.084_DECp35.807,2105,2.96618,1.07755,-0.0018433,0.00122698,-5.51067,2.75271,0.00491817,1659,0,,stage_S0.csv
tile_RA0.084_DECp36.807:3570,359.9420988196,36.8048646676,tile_RA0.084_DECp36.807,3570,5.16941,1.86727,0.0149173,0.000647205,14.8383,2.76842,0.00531387,1778,1,fwhm_ratio=1.867>1.5;spread_snr=14.8>5.0,stage_S0.csv
tile_RA0.084_DECp37.807:649,0.4207129068,37.4414670617,tile_RA0.084_DECp37.807,649,3.73122,1.34307,-0.000674793,0.000850657,-4.11857,2.77812,0.0028287,1893,0,,stage_S0.csv
tile_RA0.084_DECp37.807:3080,0.005597016,38.0795349843,tile_RA0.084_DECp37.807,3080,4.74848,1.70924,0.0125871,0.00115895,8.41996,2.77812,0.0028287,1893,1,fwhm_ratio=1.709>1.5;spread_snr=8.4>5.0,stage_S0.csv
tile_RA0.140_DECp53.807:16218,0.2639034672,54.2447399217,tile_RA0.140_DECp53.807,16218,3.00767,1.1481,0.00230794,0.0003611,6.60399,2.6197,-7.67636e-05,4008,1,spread_snr=6.6>5.0,stage_S0.csv
tile_RA0.140_DECp55.807:7582,359.5603351382,55.711650737,tile_RA0.140_DECp55.807,7582,4.10299,1.71807,0.0134246,0.00131641,11.9217,2.38814,-0.00226923,5236,1,fwhm_ratio=1.718>1.5;spread_snr=11.9>5.0,stage_S0.csv
tile_RA0.342_DECp47.807:4512,0.7555049442,47.8099144177,tile_RA0.342_DECp47.807,4512,3.80711,1.29643,0.00287776,0.000696112,1.16327,2.93661,0.00206799,3899,0,,stage_S0.csv
tile_RA0.353_DECp47.807:4501,0.7555043692,47.8099138484,tile_RA0.353_DECp47.807,4501,3.80841,1.2959,0.0023285,0.000699017,0.900757,2.93881,0.00169886,3887,0,,stage_S0.csv
tile_RA0.449_DECp23.807:1463,0.6587948497,24.1277535678,tile_RA0.449_DECp23.807,1463,3.09973,1.17084,0.0139771,0.000728534,10.7197,2.64743,0.00616738,1004,1,spread_snr=10.7>5.0,stage_S0.csv
tile_RA0.449_DECp24.807:2059,0.9740221449,24.9402635404,tile_RA0.449_DECp24.807,2059,2.41284,0.918188,0.00106767,0.00117589,-4.11396,2.62782,0.00590523,1087,0,,stage_S0.csv
tile_RA0.449_DECp24.807:2297,0.9777958543,24.8590394623,tile_RA0.449_DECp24.807,2297,2.21739,0.843813,-0.000704584,0.000994182,-6.64849,2.62782,0.00590523,1087,0,,stage_S0.csv
tile_RA0.449_DECp25.807:1332,0.7740214561,26.181152074,tile_RA0.449_DECp25.807,1332,2.98789,1.16589,-0.000392133,0.000702462,-7.83781,2.56276,0.00511363,1136,0,,stage_S0.csv
tile_RA0.506_DECp42.807:5104,0.5130953911,42.9611449824,tile_RA0.506_DECp42.807,5104,3.2209,1.13053,0.00383524,0.00127108,-0.382743,2.84903,0.00432173,2618,0,,stage_S0.csv
tile_RA0.508_DECm24.304:1135,0.5114558453,-24.2555796123,tile_RA0.508_DECm24.304,1135,3.22306,0.807756,-0.00163379,0.00130062,-1.20842,3.99014,-6.20947e-05,523,0,,stage_S0.csv
tile_RA0.508_DECp29.807:2114,0.7835419891,30.1386195879,tile_RA0.508_DECp29.807,2114,4.43331,1.54157,-0.00165052,0.00111787,-4.08989,2.87583,0.00292147,1248,1,fwhm_ratio=1.542>1.5,stage_S0.csv
tile_RA0.508_DECp29.807:2903,0.9505361991,29.9043275567,tile_RA0.508_DECp29.807,2903,4.87272,1.69437,0.0130317,0.000629575,16.0588,2.87583,0.00292147,1248,1,fwhm_ratio=1.694>1.5;spread_snr=16.1>5.0,stage_S0.csv
tile_RA0.508_DECp30.807:2085,0.9502292402,30.7108475928,tile_RA0.508_DECp30.807,2085,2.71028,0.942906,0.00289132,0.00110676,-1.84073,2.87439,0.00492856,1361,0,,stage_S0.csv
tile_RA0.508_DECp30.807:2748,0.7088440213,30.9768697093,tile_RA0.508_DECp30.807,2748,2.6573,0.924474,0.000399237,0.000447715,-10.1165,2.87439,0.00492856,1361,0,,stage_S0.csv
tile_RA0.508_DECp30.807:2874,0.6801542897,30.9345496915,tile_RA0.508_DECp30.807,2874,2.48958,0.866127,-0.0010477,0.000607385,-9.83934,2.87439,0.00492856,1361,0,,stage_S0.csv
tile_RA0.508_DECp30.807:3105,0.1877207727,30.8579743295,tile_RA0.508_DECp30.807,3105,2.63709,0.917445,0.000181813,0.00063956,-7.42191,2.87439,0.00492856,1361,0,,stage_S0.csv
tile_RA0.618_DECp36.807:4237,1.1736687899,36.8251679675,tile_RA0.618_DECp36.807,4237,4.13058,1.49653,0.00479601,0.000529485,4.41628,2.76011,0.00245766,1657,0,,stage_S0.csv
tile_RA0.618_DECp37.807:4087,0.1066485121,37.9468461348,tile_RA0.618_DECp37.807,4087,2.85739,1.02654,0.000250782,0.00092129,-1.43379,2.78353,0.00157172,1882,0,,stage_S0.csv
tile_RA0.700_DECp29.807:2014,0.7835458847,30.1386254246,tile_RA0.700_DECp29.807,2014,4.43712,1.54218,-0.00113567,0.00119125,-3.3263,2.87717,0.00282676,1254,1,fwhm_ratio=1.542>1.5,stage_S0.csv
tile_RA0.700_DECp29.807:2774,0.9505357802,29.9043288663,tile_RA0.700_DECp29.807,2774,4.94052,1.71715,0.01214,0.000610092,15.2653,2.87717,0.00282676,1254,1,fwhm_ratio=1.717>1.5;spread_snr=15.3>5.0,stage_S0.csv
tile_RA0.700_DECp29.807:2957,1.1070271048,29.8463341233,tile_RA0.700_DECp29.807,2957,3.85852,1.34108,0.000711609,0.000869512,-2.43258,2.87717,0.00282676,1254,0,,stage_S0.csv
tile_RA0.700_DECp30.807:1948,1.2547885067,30.7308379908,tile_RA0.700_DECp30.807,1948,3.15636,1.10103,0.00214573,0.00072825,-4.4822,2.86674,0.00540989,1356,0,,stage_S0.csv
tile_RA0.700_DECp30.807:2024,0.9502360218,30.7108471909,tile_RA0.700_DECp30.807,2024,2.70875,0.944889,0.0036663,0.00124217,-1.40366,2.86674,0.00540989,1356,0,,stage_S0.csv
tile_RA0.700_DECp30.807:2659,0.7088410867,30.9768679926,tile_RA0.700_DECp30.807,2659,2.65608,0.926515,0.000837125,0.000429782,-10.6397,2.86674,0.00540989,1356,0,,stage_S0.csv
tile_RA0.700_DECp30.807:2770,0.6801502547,30.9345477342,tile_RA0.700_DECp30.807,2770,2.48578,0.867111,0.000203189,0.000670836,-7.76151,2.86674,0.00540989,1356,0,,stage_S0.csv
tile_RA0.700_DECp30.807:2993,0.1877251618,30.8579811667,tile_RA0.700_DECp30.807,2993,2.66564,0.929852,0.00132888,0.000705349,-5.78579,2.86674,0.00540989,1356,0,,stage_S0.csv
