src_id,tile_id,object_id,ra,dec,profile_diff,circularity,area,shape_defect,circle_deviation,shape_confidence,elongation,stars_used,rej_profile_diff,rej_elongation,rej_circularity,reject_flag,reject_reason,shape_failed,failure_reason,source_chunk
tile_RA0.084_DECp35.807:2105,tile_RA0.084_DECp35.807,2105,0.3831937093,36.0929561159,0.0319517,0.410101,8,0.191406,0.284211,low,1.1965,9,0,1,1,1,elongation=1.197>1.1;circularity=0.410<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.084_DECp37.807:649,tile_RA0.084_DECp37.807,649,0.4207129068,37.4414670617,0.0210405,0.610876,8,0.215625,0.259305,low,1.29837,11,0,1,1,1,elongation=1.298>1.1;circularity=0.611<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.342_DECp47.807:4512,tile_RA0.342_DECp47.807,4512,0.7555049442,47.8099144177,0.0519114,0.598902,10,0.285156,0.214829,low,1.1647,14,1,1,1,1,profile_diff=0.0519>0.05;elongation=1.165>1.1;circularity=0.599<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.353_DECp47.807:4501,tile_RA0.353_DECp47.807,4501,0.7555043692,47.8099138484,0.0523949,0.598902,10,0.285156,0.214829,low,1.16484,15,1,1,1,1,profile_diff=0.0524>0.05;elongation=1.165>1.1;circularity=0.599<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.449_DECp24.807:2059,tile_RA0.449_DECp24.807,2059,0.9740221449,24.9402635404,,0.145236,24.5,0.455729,0.253854,low,1.18055,0,0,1,1,1,elongation=1.181>1.1;circularity=0.145<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.449_DECp24.807:2297,tile_RA0.449_DECp24.807,2297,0.9777958543,24.8590394623,0.0638591,0.774353,12.5,0.0890625,0.175573,low,1.09551,2,1,0,1,1,profile_diff=0.0639>0.05;circularity=0.774<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.449_DECp25.807:1332,tile_RA0.449_DECp25.807,1332,0.7740214561,26.181152074,0.0266702,0.0750302,185,,0.200969,high,1.20625,6,0,1,1,1,elongation=1.206>1.1;circularity=0.075<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.506_DECp42.807:5104,tile_RA0.506_DECp42.807,5104,0.5130953911,42.9611449824,0.0457858,0.0804226,15.5,0.710156,0.26578,low,1.19985,15,0,1,1,1,elongation=1.200>1.1;circularity=0.080<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.508_DECm24.304:1135,tile_RA0.508_DECm24.304,1135,0.5114558453,-24.2555796123,0.0595536,0.248451,59,0.695557,0.202043,low,1.11427,1,1,1,1,1,profile_diff=0.0596>0.05;elongation=1.114>1.1;circularity=0.248<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.508_DECp30.807:2085,tile_RA0.508_DECp30.807,2085,0.9502292402,30.7108475928,0.0250603,0.080859,214,1.03943,0.210391,high,1.0694,3,0,0,1,1,circularity=0.081<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.508_DECp30.807:2748,tile_RA0.508_DECp30.807,2748,0.7088440213,30.9768697093,0.0212287,0.880337,10.5,0.7899,0.127754,low,1.07745,5,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA0.508_DECp30.807:2874,tile_RA0.508_DECp30.807,2874,0.6801542897,30.9345496915,0.0343701,0.832319,9,0.0890625,0.140237,low,1.18129,5,0,1,0,1,elongation=1.181>1.1,0,,stage_S0M_MORPH.csv
tile_RA0.508_DECp30.807:3105,tile_RA0.508_DECp30.807,3105,0.1877207727,30.8579743295,0.0235883,0.796495,9.5,0.0890625,0.150222,low,1.1723,7,0,1,1,1,elongation=1.172>1.1;circularity=0.796<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.618_DECp36.807:4237,tile_RA0.618_DECp36.807,4237,1.1736687899,36.8251679675,0.0337457,0.768939,15,0.148438,0.202719,low,1.27821,4,0,1,1,1,elongation=1.278>1.1;circularity=0.769<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.618_DECp37.807:4087,tile_RA0.618_DECp37.807,4087,0.1066485121,37.9468461348,0.0594461,0.800106,14,0.0890625,0.15983,low,1.25127,4,1,1,0,1,profile_diff=0.0594>0.05;elongation=1.251>1.1,0,,stage_S0M_MORPH.csv
tile_RA0.700_DECp29.807:2957,tile_RA0.700_DECp29.807,2957,1.1070271048,29.8463341233,0.0250331,0.364942,11.5,0.553013,0.208023,low,1.2515,5,0,1,1,1,elongation=1.251>1.1;circularity=0.365<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.700_DECp30.807:1948,tile_RA0.700_DECp30.807,1948,1.2547885067,30.7308379908,,0.741142,11,0.215625,0.192883,low,1.21157,0,0,1,1,1,elongation=1.212>1.1;circularity=0.741<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.700_DECp30.807:2024,tile_RA0.700_DECp30.807,2024,0.9502360218,30.7108471909,0.0250826,0.080859,214,1.03943,0.210391,high,1.0697,3,0,0,1,1,circularity=0.081<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.700_DECp30.807:2659,tile_RA0.700_DECp30.807,2659,0.7088410867,30.9768679926,0.0211737,0.880337,10.5,0.7899,0.127754,low,1.07748,5,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA0.700_DECp30.807:2770,tile_RA0.700_DECp30.807,2770,0.6801502547,30.9345477342,0.0331773,0.832319,9,0.0890625,0.140237,low,1.10947,6,0,1,0,1,elongation=1.109>1.1,0,,stage_S0M_MORPH.csv
tile_RA0.700_DECp30.807:2993,tile_RA0.700_DECp30.807,2993,0.1877251618,30.8579811667,0.0516573,0.796495,9.5,0.0890625,0.150222,low,1.25769,6,1,1,1,1,profile_diff=0.0517>0.05;elongation=1.258>1.1;circularity=0.796<0.8,0,,stage_S0M_MORPH.csv
