src_id,ra,dec
tile_RA47.387_DECp44.559:5355,47.4356384998,44.6201076539
tile_RA85.001_DECp43.060:12399,84.8245396156,43.5317958201
tile_RA17.060_DECp43.776:3427,16.8445509755,43.7871371198
tile_RA39.816_DECp44.630:7930,40.0678494658,44.8928303686
tile_RA130.050_DECp45.494:2117,129.4965243859,45.6301068022
tile_RA130.050_DECp45.494:915,129.945971809,45.3681588027
tile_RA138.459_DECp45.407:946,138.887349733,45.3077011931
tile_RA227.716_DECp47.482:533,227.5975074728,47.1962169083
tile_RA358.824_DECp46.807:3910,358.783370302,46.7498355278
tile_RA97.742_DECp46.931:5089,98.2678469603,47.1052724916
tile_RA97.742_DECp46.931:5960,98.1541563841,46.9797180319
tile_RA131.530_DECp46.494:1709,131.7632314052,46.7711391634
tile_RA145.381_DECp46.333:1596,144.8173570736,46.4560350272
tile_RA148.332_DECp47.333:76,148.3919262433,46.8679087126
tile_RA152.296_DECp47.274:949,151.8819999943,47.2014294986
tile_RA208.434_DECp47.267:743,208.3986617904,47.6530788508
tile_RA230.675_DECp48.482:2656,230.596077846,48.4979389737
tile_RA244.565_DECp47.685:2669,244.2573752972,47.672565434
tile_RA249.022_DECp47.685:491,248.7418167826,47.3551450772
tile_RA255.992_DECp47.798:1892,256.1328027263,48.1472991642
tile_RA257.481_DECp47.798:2964,256.7658557068,47.801629108
tile_RA350.189_DECp47.793:3831,350.8223145649,47.6224501964
tile_RA86.256_DECp48.051:4981,85.596864169,47.9678916067
tile_RA116.156_DECp47.700:2970,115.9765951904,47.8295315897
tile_RA124.591_DECp47.593:1540,124.745281413,47.9081442697
tile_RA155.243_DECp48.274:996,155.0502267901,48.6334078408
tile_RA162.149_DECp48.230:1416,162.1945750062,48.3306465626
tile_RA170.523_DECp48.203:814,170.5977977491,48.063020483
tile_RA178.894_DECp48.193:1089,178.9239662522,48.3841911279
tile_RA191.679_DECp47.200:1163,192.2957291725,47.425422471
tile_RA198.581_DECp48.225:1077,198.1697175712,48.4328135077
tile_RA247.536_DECp48.685:2448,247.29811673,48.730024588
tile_RA255.992_DECp49.798:75,255.9203226996,49.3180816123
tile_RA348.671_DECp49.793:1222,348.7604382173,49.3811974564
tile_RA351.707_DECp48.793:13167,351.766900147,49.2127712367
tile_RA60.639_DECp49.394:4564,60.6774014915,49.2815811464
tile_RA111.699_DECp48.700:3576,111.8130463438,48.7509518874
tile_RA10.507_DECp49.796:4637,10.4172867776,49.7672231596
tile_RA146.856_DECp49.333:1077,146.816821787,49.2867175587
tile_RA238.422_DECp51.572:682,237.8866216376,51.3316573274
tile_RA200.978_DECp51.243:1095,200.5937482087,51.1425975277
tile_RA219.664_DECp51.373:2352,220.2693380709,51.3893328668
tile_RA240.106_DECp52.572:429,239.9863004621,52.2442566116
tile_RA246.148_DECp52.690:882,246.422840548,52.5370911791
tile_RA124.578_DECp52.538:2321,123.9485832471,52.5490089638
tile_RA249.526_DECp53.690:1508,249.6148399765,53.780470866
tile_RA268.448_DECp52.949:2498,268.9589540259,52.8557979218
tile_RA316.274_DECp53.561:2901,317.1038640749,53.5903940952
tile_RA78.945_DECp53.175:4651,78.7882065338,53.080557265
tile_RA120.229_DECp53.653:2768,119.9989949126,53.7499150132
tile_RA152.679_DECp53.280:1371,152.6454329179,53.4964542876
tile_RA154.352_DECp53.280:1034,153.6042331756,53.2137613672
tile_RA156.024_DECp53.280:1624,156.0070552685,53.3677838888
tile_RA162.014_DECp53.230:488,161.5501837953,53.0330394341
tile_RA180.661_DECp53.193:1215,180.3611049553,53.2719396207
tile_RA202.649_DECp54.243:201,203.1668520241,53.8559421527
tile_RA221.341_DECp53.373:1519,220.886348224,53.6842247568
tile_RA285.781_DECp55.214:5835,286.167934888,55.2639132825
tile_RA285.781_DECp54.214:4980,285.4435213134,54.4003819058
tile_RA285.781_DECp54.214:2978,285.6188953929,54.148864841
tile_RA86.764_DECp55.042:5476,87.0910635453,55.2406471235
tile_RA96.261_DECp53.909:3517,95.8054147891,54.3217802359
tile_RA124.578_DECp54.538:1864,124.3216016324,54.8303474942
