tile_id,tile_path,plate_id,rows_in_tile_filtered_csv,rows_emitted_to_S0,skipped_delta,notes
tile_RA0.084_DECp35.807,data/tiles/tile_RA0.084_DECp35.807,XE291,1,1,0,
tile_RA0.084_DECp36.807,data/tiles/tile_RA0.084_DECp36.807,XE291,1,1,0,
tile_RA0.084_DECp37.807,data/tiles/tile_RA0.084_DECp37.807,XE291,2,2,0,
tile_RA0.140_DECp53.807,data/tiles/tile_RA0.140_DECp53.807,XE111,1,1,0,
tile_RA0.140_DECp54.807,data/tiles/tile_RA0.140_DECp54.807,XE111,0,0,0,missing survivors csv
tile_RA0.140_DECp55.807,data/tiles/tile_RA0.140_DECp55.807,XE111,1,1,0,
tile_RA0.342_DECp47.807,data/tiles/tile_RA0.342_DECp47.807,XE191,1,1,0,
tile_RA0.342_DECp48.807,data/tiles/tile_RA0.342_DECp48.807,XE191,0,0,0,missing survivors csv
tile_RA0.342_DECp49.807,data/tiles/tile_RA0.342_DECp49.807,XE191,0,0,0,missing survivors csv
tile_RA0.353_DECp47.807,data/tiles/tile_RA0.353_DECp47.807,XE149,1,1,0,
tile_RA0.353_DECp48.807,data/tiles/tile_RA0.353_DECp48.807,XE149,0,0,0,missing survivors csv
tile_RA0.353_DECp49.807,data/tiles/tile_RA0.353_DECp49.807,XE149,0,0,0,missing survivors csv
tile_RA0.449_DECp23.807,data/tiles/tile_RA0.449_DECp23.807,XE403,1,1,0,
tile_RA0.449_DECp24.807,data/tiles/tile_RA0.449_DECp24.807,XE403,2,2,0,
tile_RA0.449_DECp25.807,data/tiles/tile_RA0.449_DECp25.807,XE403,1,1,0,
tile_RA0.506_DECp41.807,data/tiles/tile_RA0.506_DECp41.807,XE192,0,0,0,missing survivors csv
tile_RA0.506_DECp42.807,data/tiles/tile_RA0.506_DECp42.807,XE192,1,1,0,
tile_RA0.506_DECp43.807,data/tiles/tile_RA0.506_DECp43.807,XE192,0,0,0,missing survivors csv
tile_RA0.508_DECm22.304,data/tiles/tile_RA0.508_DECm22.304,XE825,0,0,0,missing survivors csv
tile_RA0.508_DECm23.304,data/tiles/tile_RA0.508_DECm23.304,XE825,0,0,0,missing survivors csv
tile_RA0.508_DECm24.304,data/tiles/tile_RA0.508_DECm24.304,XE825,1,1,0,
tile_RA0.508_DECp29.807,data/tiles/tile_RA0.508_DECp29.807,XE347,2,2,0,
