src_id,ra,dec
tile_RA195.672_DECp23.224:874,196.0279718229,23.1869294603
tile_RA195.672_DECp24.224:253,195.5346462074,23.8924593966
tile_RA195.777_DECm6.854:777,195.720128631,-6.401711444
tile_RA195.777_DECm6.854:958,195.5395642278,-6.5515578768
tile_RA195.777_DECm6.854:1406,196.1846142016,-6.6655965229
tile_RA195.777_DECm6.854:1768,195.8330367268,-6.8762692727
tile_RA195.847_DECp5.213:678,195.9152542397,5.065721244
tile_RA195.858_DECm0.787:461,195.9626350515,-1.0204121922
tile_RA195.858_DECm0.787:1115,195.7502315212,-0.4337064423
tile_RA195.858_DECm0.787:1385,196.0326691937,-0.5945209505
tile_RA196.375_DECp63.223:533,196.9733840877,63.0074561822
tile_RA196.375_DECp64.223:495,196.3421449036,64.0088314006
tile_RA196.375_DECp64.223:975,196.3377007171,64.160259189
tile_RA196.375_DECp64.223:1261,196.4719602622,64.462444149
tile_RA196.375_DECp66.223:947,196.3066477583,66.6343692863
tile_RA196.375_DECp66.223:1245,195.7599456265,66.1200620639
tile_RA196.375_DECp66.223:1326,196.1298339872,66.5486416704
tile_RA196.375_DECp66.223:1593,196.548826881,66.4142864644
tile_RA196.375_DECp67.223:1003,196.751079386,67.6321898333
tile_RA196.375_DECp67.223:1313,195.7761322504,67.1383302436
tile_RA196.375_DECp67.223:1599,197.4904710675,67.4696940362
tile_RA196.375_DECp67.223:1955,196.0853279121,67.2850195673
tile_RA196.465_DECp34.227:614,196.4587468385,34.6185996272
tile_RA196.465_DECp34.227:1207,196.4734096839,34.2898217672
tile_RA196.661_DECp39.223:967,196.2631674521,39.5312178247
tile_RA196.661_DECp39.223:1084,196.7661691249,39.4505097023
tile_RA196.661_DECp39.223:1298,196.8546181886,39.2827652265
tile_RA196.661_DECp40.223:569,196.983546497,40.104573148
tile_RA196.661_DECp40.223:973,196.5539889838,40.4725226121
tile_RA196.661_DECp40.223:1265,196.8791071172,40.241678409
tile_RA196.661_DECp40.223:1285,196.6252367383,40.2711681848
tile_RA196.661_DECp41.223:142,196.4830224396,40.839116306
tile_RA196.661_DECp41.223:987,196.6788536414,41.397968839
tile_RA196.661_DECp42.223:157,196.5383731759,41.8460270553
tile_RA196.661_DECp42.223:350,196.2045418268,42.0056793417
tile_RA196.661_DECp42.223:413,197.0110355933,42.0629437533
tile_RA196.661_DECp42.223:561,196.5437746666,42.6766515919
tile_RA196.661_DECp43.223:103,196.6534417403,42.7920201924
tile_RA196.661_DECp43.223:262,196.9638412939,42.902348525
tile_RA196.661_DECp43.223:296,196.8387302502,42.9270902983
tile_RA196.661_DECp43.223:1387,196.7559275799,43.2009273829
tile_RA196.731_DECp27.223:55,196.5555549651,26.7542085873
tile_RA196.731_DECp27.223:100,196.8761076906,26.7901550603
tile_RA196.731_DECp27.223:131,196.4647528263,26.8153170478
tile_RA196.731_DECp27.223:213,197.1081254133,26.879635837
tile_RA196.731_DECp27.223:247,196.3890117301,26.9024348483
tile_RA196.731_DECp27.223:255,196.9684845323,26.9084869543
tile_RA196.731_DECp27.223:312,196.362236988,26.9501885934
tile_RA196.731_DECp27.223:493,197.2322969423,27.0775555163
tile_RA196.731_DECp27.223:519,196.6689804075,27.0966773762
tile_RA196.731_DECp27.223:522,196.5979174477,27.0995357768
tile_RA196.731_DECp27.223:541,196.9797289886,27.1102280689
tile_RA196.731_DECp27.223:816,197.1155811351,27.1492660268
tile_RA196.731_DECp27.223:830,196.2202129669,27.137570676
tile_RA196.731_DECp27.223:836,196.8547407701,27.1352005981
tile_RA196.731_DECp27.223:924,197.0922945364,27.5492228615
tile_RA196.731_DECp27.223:1205,196.4299077783,27.3504724685
tile_RA196.731_DECp27.223:1398,196.6212928688,27.2013347488
tile_RA196.731_DECp28.223:166,196.8862022502,27.8364371274
tile_RA196.731_DECp28.223:353,196.3540537625,27.9696912242
tile_RA196.731_DECp28.223:554,196.7592595302,28.701827943
tile_RA196.731_DECp28.223:669,196.683941422,28.6177755626
tile_RA196.731_DECp28.223:718,197.1655234336,28.4651163575
tile_RA196.731_DECp28.223:780,196.2607688897,28.1160005904
tile_RA196.731_DECp28.223:1031,197.2292691646,28.392415048
tile_RA196.731_DECp28.223:1220,196.8511688516,28.259780477
tile_RA196.731_DECp29.223:1441,196.2469668611,29.2148680912
tile_RA196.731_DECp30.223:669,196.6328901432,30.6226519823
tile_RA196.760_DECp21.224:53,196.6407494281,20.767562548
tile_RA196.760_DECp23.224:397,197.0995780907,23.0812534427
tile_RA196.760_DECp23.224:1092,197.1332390106,23.1932833949
tile_RA196.760_DECp24.224:493,197.1023488213,24.0959970621
tile_RA196.760_DECp24.224:615,196.9696537238,24.6444301606
tile_RA196.760_DECp24.224:1250,197.2225548995,24.1941592653
tile_RA196.760_DECp25.224:94,196.9177714346,24.7863492863
tile_RA196.760_DECp25.224:613,196.672114842,25.7024974109
tile_RA196.760_DECp25.224:836,196.7295039535,25.1690241749
tile_RA196.810_DECp82.200:744,199.9322176249,81.9948277526
tile_RA196.810_DECp84.200:1836,195.0391107192,84.3194850441
tile_RA197.109_DECp45.225:956,197.2709757418,45.5204746201
tile_RA197.109_DECp46.225:698,197.0718433652,46.6100552837
tile_RA197.109_DECp47.225:728,197.5966113447,47.1614404414
tile_RA197.109_DECp47.225:1065,196.8600607518,47.3923739856
tile_RA197.109_DECp47.225:1210,196.81634642,47.2948751288
tile_RA197.109_DECp48.225:1381,197.1753622757,48.3158071012
tile_RA197.460_DECp58.235:1349,196.8246284432,58.1258394491
tile_RA197.460_DECp60.235:204,197.106298594,59.8112790117
tile_RA197.460_DECp60.235:1649,198.1112204688,60.1911170406
tile_RA197.460_DECp60.235:2250,198.1557390266,60.2062183037
tile_RA197.636_DECp53.243:1338,197.4717196671,53.4920340558
tile_RA197.636_DECp53.243:1342,198.013623882,53.5031589261
tile_RA197.680_DECp17.236:1132,197.6229438162,17.3202813597
tile_RA197.689_DECp33.227:714,197.5695417249,33.1342677484
tile_RA197.689_DECp33.227:946,198.1200924375,33.18343703
tile_RA197.689_DECp35.227:460,197.425424351,35.0800684689
tile_RA197.689_DECp36.227:289,197.3818464174,35.9817193903
tile_RA197.689_DECp37.227:536,197.4383155278,37.656138259
tile_RA197.689_DECp37.227:1111,197.9335841964,37.2524009056
tile_RA197.764_DECp11.236:33,197.7567391866,10.7537952974
tile_RA197.764_DECp11.236:960,197.9147114674,11.6066960706
tile_RA197.823_DECp5.236:514,197.4636363269,4.9898452629
tile_RA197.823_DECp5.236:903,197.7928965161,5.6608755898
tile_RA197.823_DECp5.236:980,197.6091924759,5.6192209163
tile_RA197.823_DECp5.236:997,197.7510555246,5.6114441728
tile_RA197.823_DECp5.236:1183,197.7353968651,5.5651908416
tile_RA197.823_DECp5.236:1259,197.4500932476,5.5228889017
tile_RA197.823_DECp5.236:1650,197.4482634749,5.2034510271
tile_RA197.823_DECp5.236:1813,197.3326478259,5.2356962686
tile_RA197.849_DECp23.224:145,197.6180167809,22.8565268848
tile_RA197.849_DECp23.224:201,198.2228973417,22.897190093
tile_RA197.849_DECp23.224:325,197.6417517068,23.0045485479
tile_RA197.849_DECp23.224:620,197.3756308656,23.2091521008
tile_RA197.849_DECp23.224:721,197.3272826921,23.1273140336
tile_RA197.849_DECp23.224:973,198.2717648631,23.3738894159
tile_RA197.849_DECp23.224:1113,197.7409340944,23.2648527494
tile_RA197.849_DECp23.224:1170,197.7730186107,23.222715477
tile_RA197.858_DECm0.764:508,197.4457707365,-0.9507188606
tile_RA197.858_DECm0.764:880,198.2823134225,-0.8459745055
tile_RA197.858_DECm0.764:1522,197.3834589538,-0.7593830605
tile_RA197.872_DECm6.764:423,197.8925171724,-7.0739833974
tile_RA197.872_DECm6.764:769,198.0327110786,-6.9248664724
tile_RA197.872_DECm6.764:844,197.6585777617,-6.8935696101
tile_RA197.872_DECm6.764:1285,198.1318269473,-6.4044223169
tile_RA197.877_DECp28.223:315,197.5724497055,27.9612528819
tile_RA197.877_DECp28.223:471,197.4690925193,28.0826565091
tile_RA197.877_DECp28.223:1189,197.5686686576,28.2835776268
tile_RA197.877_DECp28.223:1192,197.8730909502,28.2764337576
tile_RA197.877_DECp29.223:672,197.9327032821,29.5881197733
tile_RA197.877_DECp29.223:798,197.8460551917,29.5512393435
