mnras_row,mnras_ra,mnras_dec,tile_id,matched,sep_arcsec,src_id,gate_result,gate_failures,eliminating_stage,rejection_reason
5038,0.723123,41.768505,tile_RA0.506_DECp41.807,True,0.417,tile_RA0.506_DECp41.807:2539,GATE_FAIL,ELONG<1.3,,
4126,1.797602,64.865810,tile_RA1.695_DECp64.828,True,0.298,tile_RA1.695_DECp64.828:11689,GATE_PASS,,PRE_S0,not_in_stage_S0
3939,2.951379,68.525030,tile_RA1.695_DECp68.828,False,194.54,,NO_MATCH,,,"circle_cut (dist_from_center=32.89' pre_sep=0.72"")"
5103,1.383961,39.182390,tile_RA1.867_DECp38.807,False,146.13,,NO_MATCH,,,"not_detected (nearest_pre=55.5"")"
4743,10.667160,50.824753,tile_RA10.507_DECp50.796,True,0.307,tile_RA10.507_DECp50.796:6219,GATE_PASS,,S0M,spread_snr=10.8>5.0
3018,100.653946,44.049030,tile_RA100.074_DECp43.877,True,0.169,tile_RA100.074_DECp43.877:5374,GATE_FAIL,2<FWHM<7;SPREAD>-0.002,,
3037,102.115050,53.908012,tile_RA101.354_DECp53.909,True,0.410,tile_RA101.354_DECp53.909:5334,GATE_FAIL,SPREAD>-0.002,,
2961,105.882310,53.382550,tile_RA105.728_DECp53.778,True,0.397,tile_RA105.728_DECp53.778:552,GATE_FAIL,ELONG<1.3;2<FWHM<7;SPREAD>-0.002,,
2963,105.751840,53.565388,tile_RA105.728_DECp53.778,True,0.169,tile_RA105.728_DECp53.778:1487,GATE_FAIL,2<FWHM<7;SPREAD>-0.002,,
2769,106.603720,40.991800,tile_RA106.172_DECp40.731,True,0.312,tile_RA106.172_DECp40.731:3920,GATE_FAIL,ELONG<1.3,,
2796,106.664570,42.978700,tile_RA106.172_DECp42.731,True,0.430,tile_RA106.172_DECp42.731:3606,GATE_FAIL,ELONG<1.3;SPREAD>-0.002,,
2801,106.617750,43.206270,tile_RA106.172_DECp42.731,False,282.72,,NO_MATCH,,,"circle_cut (dist_from_center=34.59' pre_sep=0.42"")"
2850,105.799720,43.164158,tile_RA106.172_DECp42.731,False,74.56,,NO_MATCH,,,"circle_cut (dist_from_center=30.70' pre_sep=0.10"")"
2926,107.308685,54.567577,tile_RA107.421_DECp54.778,True,0.805,tile_RA107.421_DECp54.778:1388,GATE_FAIL,FLAGS==0;ELONG<1.3,,
2948,107.327290,55.890087,tile_RA107.421_DECp55.778,True,0.329,tile_RA107.421_DECp55.778:3794,GATE_FAIL,2<FWHM<7;SPREAD>-0.002,,
2758,106.889290,41.226070,tile_RA107.512_DECp40.731,False,665.45,,NO_MATCH,,,"circle_cut (dist_from_center=40.96' pre_sep=0.67"")"
2747,107.253920,41.627007,tile_RA107.512_DECp41.731,True,0.468,tile_RA107.512_DECp41.731:2107,GATE_FAIL,SPREAD>-0.002,,
2755,107.053474,41.706540,tile_RA107.512_DECp41.731,True,0.303,tile_RA107.512_DECp41.731:5038,GATE_FAIL,ELONG<1.3;2<FWHM<7;SPREAD>-0.002,,
