src_id,ra,dec
tile_RA0.353_DECp47.807:4501,0.7554741536,47.8098778486
tile_RA0.353_DECp47.807:5341,0.9976554727,47.901243758
tile_RA0.353_DECp48.807:1371,0.8365021709,48.4507641216
tile_RA0.353_DECp48.807:3225,0.853942533,48.6355599176
tile_RA1.872_DECp46.807:6282,2.0126504171,47.2749802635
tile_RA1.872_DECp49.807:3657,1.2386539233,49.652284207
tile_RA1.872_DECp50.807:7244,2.2174649668,50.906115747
tile_RA10.507_DECp46.796:2757,10.5048009109,46.6721550759
tile_RA10.507_DECp46.796:2925,10.0068958243,46.6915353691
tile_RA10.507_DECp46.796:4341,10.8758967807,46.8736657434
tile_RA10.507_DECp47.796:6780,10.5474848789,48.1965687144
tile_RA10.507_DECp48.796:2158,10.4307170535,48.5593493595
tile_RA10.507_DECp49.796:4637,10.4172676648,49.7671922538
tile_RA101.748_DECp47.813:3864,102.0888043416,47.8684940996
tile_RA101.748_DECp47.813:6405,102.0340733069,48.2534875748
tile_RA103.237_DECp46.813:5061,103.7300762992,46.9479393495
tile_RA103.237_DECp47.813:2275,103.826748727,47.6785986948
tile_RA103.237_DECp47.813:2373,103.5932931012,47.6915090046
tile_RA103.237_DECp47.813:5846,102.6443734454,47.8254130961
tile_RA103.237_DECp48.813:934,102.7230167915,48.4648778825
tile_RA104.726_DECp45.813:2464,104.5962526799,45.7341101478
tile_RA104.726_DECp45.813:2755,105.2574339769,45.7786127574
tile_RA104.726_DECp45.813:4577,105.3390008203,45.9121015555
tile_RA104.726_DECp45.813:4736,104.0925988275,45.9681768873
tile_RA104.726_DECp45.813:5274,104.7397362185,46.2884741303
tile_RA104.726_DECp46.813:879,104.390453046,46.4734536567
tile_RA104.726_DECp46.813:1390,104.1147728811,46.5732863326
tile_RA104.726_DECp47.813:2378,104.9677044516,47.7390576825
tile_RA104.726_DECp49.813:5435,105.3151734436,49.8486249293
tile_RA106.215_DECp46.813:2227,106.2049910911,47.2640126448
tile_RA106.215_DECp46.813:3822,105.6442700396,47.017629897
tile_RA106.215_DECp47.813:1112,105.8595842401,47.5255604457
tile_RA107.704_DECp47.813:328,107.7271552024,47.3751264348
tile_RA107.704_DECp47.813:1244,107.6486901964,47.5544028214
tile_RA107.704_DECp47.813:2967,107.5617161254,48.1807885154
tile_RA110.213_DECp47.700:4130,109.6673317111,47.7405303241
tile_RA111.699_DECp46.700:1926,111.5335961503,47.1039249691
tile_RA111.699_DECp47.700:357,112.0258522848,47.2777503024
tile_RA111.699_DECp47.700:2728,111.955394882,48.0008706805
tile_RA111.699_DECp48.700:1122,111.412132526,48.4708354029
tile_RA111.699_DECp48.700:3576,111.8130519466,48.7508721183
