src_id,ra,dec,tile_id,object_id,fwhm_image,fwhm_ratio,spread_model,spreaderr_model,spread_snr,psf_fwhm_median,psf_spread_median,psf_star_count,reject_flag,reject_reason,source_chunk
tile_RA0.353_DECp47.807:4501,0.7554741536,47.8098778486,tile_RA0.353_DECp47.807,4501,3.80841,1.2959,0.0023285,0.000699017,0.900757,2.93881,0.00169886,3887,0,,stage_S0.csv
tile_RA0.353_DECp47.807:5341,0.9976554727,47.901243758,tile_RA0.353_DECp47.807,5341,2.49106,0.847642,-0.00174555,0.000658556,-5.23024,2.93881,0.00169886,3887,0,,stage_S0.csv
tile_RA0.353_DECp48.807:1371,0.8365021709,48.4507641216,tile_RA0.353_DECp48.807,1371,3.15693,1.09242,0.00466817,0.000393563,4.32484,2.88985,0.00296607,4000,0,,stage_S0.csv
tile_RA0.353_DECp48.807:3225,0.853942533,48.6355599176,tile_RA0.353_DECp48.807,3225,3.05075,1.05567,0.00365034,0.000440703,1.55269,2.88985,0.00296607,4000,0,,stage_S0.csv
tile_RA1.872_DECp46.807:6282,2.0126504171,47.2749802635,tile_RA1.872_DECp46.807,6282,2.62943,0.921195,-0.00198052,0.000898255,-5.41369,2.85437,0.00288236,3478,0,,stage_S0.csv
tile_RA1.872_DECp48.807:2389,1.7221871945,48.554344171,tile_RA1.872_DECp48.807,2389,5.33604,1.90347,0.017121,0.00103278,13.5875,2.80333,0.00308815,4073,1,fwhm_ratio=1.903>1.5;spread_snr=13.6>5.0,stage_S0.csv
tile_RA1.872_DECp49.807:3657,1.2386539233,49.652284207,tile_RA1.872_DECp49.807,3657,2.18489,0.770485,-0.00134245,0.00125443,-3.32298,2.83574,0.00282601,4454,0,,stage_S0.csv
tile_RA1.872_DECp49.807:6228,2.2647725081,49.8924842005,tile_RA1.872_DECp49.807,6228,5.42552,1.91327,0.0260685,0.000356716,65.1568,2.83574,0.00282601,4454,1,fwhm_ratio=1.913>1.5;spread_snr=65.2>5.0,stage_S0.csv
tile_RA1.872_DECp50.807:7244,2.2174649668,50.906115747,tile_RA1.872_DECp50.807,7244,2.71272,0.974591,0.000888755,0.000665699,-1.79989,2.78344,0.00208694,4640,0,,stage_S0.csv
tile_RA10.507_DECp46.796:2664,10.7211926807,46.656878701,tile_RA10.507_DECp46.796,2664,5.64981,2.16593,0.0304499,0.000316448,80.8034,2.60849,0.00487977,3215,1,fwhm_ratio=2.166>1.5;spread_snr=80.8>5.0,stage_S0.csv
tile_RA10.507_DECp46.796:2757,10.5048009109,46.6721550759,tile_RA10.507_DECp46.796,2757,2.39302,0.917398,0.00263275,0.000447561,-5.02058,2.60849,0.00487977,3215,0,,stage_S0.csv
tile_RA10.507_DECp46.796:2925,10.0068958243,46.6915353691,tile_RA10.507_DECp46.796,2925,2.93376,1.1247,0.00187634,0.000436035,-6.88803,2.60849,0.00487977,3215,0,,stage_S0.csv
tile_RA10.507_DECp46.796:4341,10.8758967807,46.8736657434,tile_RA10.507_DECp46.796,4341,3.1428,1.20483,0.00157524,0.0010822,-3.05352,2.60849,0.00487977,3215,0,,stage_S0.csv
tile_RA10.507_DECp47.796:5313,10.6722404482,48.0052675841,tile_RA10.507_DECp47.796,5313,3.72375,1.42591,0.0221537,0.000496088,36.2194,2.61149,0.00418571,3728,1,spread_snr=36.2>5.0,stage_S0.csv
tile_RA10.507_DECp47.796:6753,10.5466693223,48.1990090817,tile_RA10.507_DECp47.796,6753,3.02614,1.15878,0.0106536,0.000730229,8.85732,2.61149,0.00418571,3728,1,spread_snr=8.9>5.0,stage_S0.csv
tile_RA10.507_DECp47.796:6780,10.5474848789,48.1965687144,tile_RA10.507_DECp47.796,6780,2.39774,0.918149,0.00222998,0.00103541,-1.88885,2.61149,0.00418571,3728,0,,stage_S0.csv
tile_RA10.507_DECp48.796:2158,10.4307170535,48.5593493595,tile_RA10.507_DECp48.796,2158,2.73217,1.05342,0.00369641,0.000605761,-0.748063,2.59362,0.00414955,3797,0,,stage_S0.csv
tile_RA10.507_DECp49.796:4637,10.4172676648,49.7671922538,tile_RA10.507_DECp49.796,4637,2.54242,1.0008,0.000617661,0.000626597,-4.2465,2.54039,0.00327851,4166,0,,stage_S0.csv
tile_RA10.507_DECp50.796:2142,10.15825711,50.4779947133,tile_RA10.507_DECp50.796,2142,3.20828,1.27136,0.00863582,0.00106984,6.10679,2.5235,0.00210256,3939,1,spread_snr=6.1>5.0,stage_S0.csv
tile_RA10.507_DECp50.796:6219,10.6670176712,50.8247306328,tile_RA10.507_DECp50.796,6219,3.30586,1.31003,0.0102066,0.000753745,10.7517,2.5235,0.00210256,3939,1,spread_snr=10.8>5.0,stage_S0.csv
tile_RA10.507_DECp50.796:6830,10.9150779222,50.8757806968,tile_RA10.507_DECp50.796,6830,4.38293,1.73685,0.0110434,0.000482665,18.524,2.5235,0.00210256,3939,1,fwhm_ratio=1.737>1.5;spread_snr=18.5>5.0,stage_S0.csv
