src_id,tile_id,object_id,ra,dec,profile_diff,circularity,area,shape_defect,circle_deviation,shape_confidence,elongation,stars_used,rej_profile_diff,rej_elongation,rej_circularity,reject_flag,reject_reason,shape_failed,failure_reason,source_chunk
tile_RA0.353_DECp47.807:4501,tile_RA0.353_DECp47.807,4501,0.7554741536,47.8098778486,0.0523949,0.598902,10,0.285156,0.214829,low,1.16484,15,1,1,1,1,profile_diff=0.0524>0.05;elongation=1.165>1.1;circularity=0.599<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.353_DECp47.807:5341,tile_RA0.353_DECp47.807,5341,0.9976554727,47.901243758,0.0296349,0.718683,12,0.222656,0.155403,low,1.05576,16,0,0,1,1,circularity=0.719<0.8,0,,stage_S0M_MORPH.csv
tile_RA0.353_DECp48.807:1371,tile_RA0.353_DECp48.807,1371,0.8365021709,48.4507641216,0.0281702,0.943271,14,0.841471,0,low,1.08725,14,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA0.353_DECp48.807:3225,tile_RA0.353_DECp48.807,3225,0.853942533,48.6355599176,0.0142182,0.898353,15,0.735938,0.0819133,low,1.06211,14,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA1.872_DECp46.807:6282,tile_RA1.872_DECp46.807,6282,2.0126504171,47.2749802635,0.0253883,0.387275,14,0.404297,0.243996,low,1.23396,10,0,1,1,1,elongation=1.234>1.1;circularity=0.387<0.8,0,,stage_S0M_MORPH.csv
tile_RA1.872_DECp49.807:3657,tile_RA1.872_DECp49.807,3657,1.2386539233,49.652284207,0.0361561,0.23491,47,0.288143,0.297678,low,1.1259,19,0,1,1,1,elongation=1.126>1.1;circularity=0.235<0.8,0,,stage_S0M_MORPH.csv
tile_RA1.872_DECp50.807:7244,tile_RA1.872_DECp50.807,7244,2.2174649668,50.906115747,0.0278987,0.739839,16,0.240885,0.148015,low,1.1541,18,0,1,1,1,elongation=1.154>1.1;circularity=0.740<0.8,0,,stage_S0M_MORPH.csv
tile_RA10.507_DECp46.796:2757,tile_RA10.507_DECp46.796,2757,10.5048009109,46.6721550759,0.0115091,0.819855,8.5,1.03223,0.124744,low,1.0658,12,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA10.507_DECp46.796:2925,tile_RA10.507_DECp46.796,2925,10.0068958243,46.6915353691,0.019528,0.272654,15.5,0.357422,0.294228,low,1.26364,15,0,1,1,1,elongation=1.264>1.1;circularity=0.273<0.8,0,,stage_S0M_MORPH.csv
tile_RA10.507_DECp46.796:4341,tile_RA10.507_DECp46.796,4341,10.8758967807,46.8736657434,0.0308365,0.712405,11.5,0.126562,0.20274,low,1.12912,11,0,1,1,1,elongation=1.129>1.1;circularity=0.712<0.8,0,,stage_S0M_MORPH.csv
tile_RA10.507_DECp47.796:6780,tile_RA10.507_DECp47.796,6780,10.5474848789,48.1965687144,0.0527438,0.838463,14,0.0742188,0.106467,low,1.19978,21,1,1,0,1,profile_diff=0.0527>0.05;elongation=1.200>1.1,0,,stage_S0M_MORPH.csv
tile_RA10.507_DECp48.796:2158,tile_RA10.507_DECp48.796,2158,10.4307170535,48.5593493595,0.0674346,0.812683,26.5,0.0636161,0.0783898,low,1.09644,14,1,0,0,1,profile_diff=0.0674>0.05,0,,stage_S0M_MORPH.csv
tile_RA10.507_DECp49.796:4637,tile_RA10.507_DECp49.796,4637,10.4172676648,49.7671922538,0.0248985,0.898353,7.5,0.77753,0.081912,low,1.05492,15,0,0,0,0,,0,,stage_S0M_MORPH.csv
tile_RA101.748_DECp47.813:3864,tile_RA101.748_DECp47.813,3864,102.0888043416,47.8684940996,0.0347544,0.218841,63.5,0.465712,0.259714,low,1.22034,7,0,1,1,1,elongation=1.220>1.1;circularity=0.219<0.8,0,,stage_S0M_MORPH.csv
