src_id,tile_id,ra,dec,plate_id,obs_date,run_id
tile_RA88.467_DECp53.042:940,tile_RA88.467_DECp53.042,88.955310164900,52.652661413000,XE120,1953-02-11,R1
tile_RA86.764_DECp53.042:4892,tile_RA86.764_DECp53.042,86.433686215300,53.094481534300,XE120,1953-02-11,R1
tile_RA86.764_DECp54.042:6824,tile_RA86.764_DECp54.042,86.481596075000,54.426072417200,XE120,1953-02-11,R1
tile_RA88.467_DECp54.042:5602,tile_RA88.467_DECp54.042,89.216161842900,54.202067491300,XE120,1953-02-11,R1
tile_RA1.923_DECp77.807:3485,tile_RA1.923_DECp77.807,3.652927183100,77.821846483000,XE012,1954-09-21,R1
tile_RA55.795_DECp78.536:131,tile_RA55.795_DECp78.536,56.110148026200,78.044498287800,XE014,1954-09-26,R1
tile_RA60.826_DECp78.536:4481,tile_RA60.826_DECp78.536,59.795016181100,78.811931935800,XE014,1954-09-26,R1
tile_RA351.620_DECp79.807:5773,tile_RA351.620_DECp79.807,350.298589272000,79.913984830900,XE012,1954-09-20,R1
tile_RA50.763_DECp79.536:1963,tile_RA50.763_DECp79.536,51.241485962700,79.339746898500,XE014,1954-09-26,R1
tile_RA60.826_DECp79.536:3524,tile_RA60.826_DECp79.536,61.277535414300,79.946924887300,XE014,1954-09-26,R1
tile_RA50.763_DECp80.536:4521,tile_RA50.763_DECp80.536,51.599891224900,80.737249965100,XE014,1954-09-26,R1
tile_RA84.513_DECp82.144:1007,tile_RA84.513_DECp82.144,82.623249409800,81.874732059500,XE004,1955-01-28,R1
tile_RA188.364_DECp83.200:1738,tile_RA188.364_DECp83.200,185.179945776400,83.304117956700,XE007,1955-02-28,R1
tile_RA205.256_DECp83.200:1986,tile_RA205.256_DECp83.200,201.617918554100,83.237921363300,XE007,1955-03-23,R1
tile_RA205.256_DECp83.200:1471,tile_RA205.256_DECp83.200,202.083423411100,82.969710517200,XE007,1955-03-23,R1
tile_RA213.107_DECp82.413:1041,tile_RA213.107_DECp82.413,211.641886546400,82.841263919500,XE008,1955-03-23,R1
tile_RA247.544_DECp82.855:2333,tile_RA247.544_DECp82.855,248.629764375400,83.060596600000,XE009,1953-08-11,R1
tile_RA74.712_DECp83.144:1592,tile_RA74.712_DECp83.144,71.897884457200,82.953835997900,XE004,1955-01-28,R1
tile_RA121.015_DECp83.636:1177,tile_RA121.015_DECp83.636,118.141597714200,83.517875222700,XE005,1953-03-09,R1
